"Step","lemon-valley-41 - accuracy","lemon-valley-41 - accuracy__MIN","lemon-valley-41 - accuracy__MAX","Best result sgd with sam - accuracy","Best result sgd with sam - accuracy__MIN","Best result sgd with sam - accuracy__MAX","polished-microwave-39 - accuracy","polished-microwave-39 - accuracy__MIN","polished-microwave-39 - accuracy__MAX","SGD with SAM lr-0.1 - accuracy","SGD with SAM lr-0.1 - accuracy__MIN","SGD with SAM lr-0.1 - accuracy__MAX","SGD with sam lr-0.05 - accuracy","SGD with sam lr-0.05 - accuracy__MIN","SGD with sam lr-0.05 - accuracy__MAX","SGD with SAM lr-0.01 - accuracy","SGD with SAM lr-0.01 - accuracy__MIN","SGD with SAM lr-0.01 - accuracy__MAX","Adagrad lr-0.001 - accuracy","Adagrad lr-0.001 - accuracy__MIN","Adagrad lr-0.001 - accuracy__MAX","Adagrad lr-0.005 - accuracy","Adagrad lr-0.005 - accuracy__MIN","Adagrad lr-0.005 - accuracy__MAX","Adagrad lr -0.01 - accuracy","Adagrad lr -0.01 - accuracy__MIN","Adagrad lr -0.01 - accuracy__MAX","RMSprop lr-0.005 - accuracy","RMSprop lr-0.005 - accuracy__MIN","RMSprop lr-0.005 - accuracy__MAX","RMSprop lr-0.05 - accuracy","RMSprop lr-0.05 - accuracy__MIN","RMSprop lr-0.05 - accuracy__MAX","RMSprop lr-0.01 - accuracy","RMSprop lr-0.01 - accuracy__MIN","RMSprop lr-0.01 - accuracy__MAX","Adam lr-0.0001 - accuracy","Adam lr-0.0001 - accuracy__MIN","Adam lr-0.0001 - accuracy__MAX","Adam lr-0.0005 overflow - accuracy","Adam lr-0.0005 overflow - accuracy__MIN","Adam lr-0.0005 overflow - accuracy__MAX","Adam lr-0.001 batch_size 64 - accuracy","Adam lr-0.001 batch_size 64 - accuracy__MIN","Adam lr-0.001 batch_size 64 - accuracy__MAX","SGD lr-0.001 batch_size 256 - accuracy","SGD lr-0.001 batch_size 256 - accuracy__MIN","SGD lr-0.001 batch_size 256 - accuracy__MAX","SGD-lr-0.05-batch_size 128 - accuracy","SGD-lr-0.05-batch_size 128 - accuracy__MIN","SGD-lr-0.05-batch_size 128 - accuracy__MAX","SGD-lr-0.01-batch_size-128 - accuracy","SGD-lr-0.01-batch_size-128 - accuracy__MIN","SGD-lr-0.01-batch_size-128 - accuracy__MAX"
"30","0.248","0.248","0.248","0.3476","0.3476","0.3476","0.4501","0.4501","0.4501","0.4569","0.4569","0.4569","0.4146","0.4146","0.4146","0.3776","0.3776","0.3776","0.4112","0.4112","0.4112","0.4494","0.4494","0.4494","0.4535","0.4535","0.4535","0.379","0.379","0.379","0.1","0.1","0.1","0.3204","0.3204","0.3204","0.4644","0.4644","0.4644","0.4401","0.4401","0.4401","0.4251","0.4251","0.4251","0.1773","0.1773","0.1773","0.3","0.3","0.3","0.3712","0.3712","0.3712"
"31","0.2477","0.2477","0.2477","0.3486","0.3486","0.3486","0.4527","0.4527","0.4527","0.4621","0.4621","0.4621","0.4207","0.4207","0.4207","0.3774","0.3774","0.3774","0.4112","0.4112","0.4112","0.4497","0.4497","0.4497","0.4536","0.4536","0.4536","0.3651","0.3651","0.3651","0.1","0.1","0.1","0.3148","0.3148","0.3148","0.4636","0.4636","0.4636","0.4379","0.4379","0.4379","0.4321","0.4321","0.4321","0.1782","0.1782","0.1782","0.3008","0.3008","0.3008","0.3787","0.3787","0.3787"
"32","0.2547","0.2547","0.2547","0.3557","0.3557","0.3557","0.4533","0.4533","0.4533","0.448","0.448","0.448","0.4218","0.4218","0.4218","0.3798","0.3798","0.3798","0.4108","0.4108","0.4108","0.4534","0.4534","0.4534","0.4497","0.4497","0.4497","0.3742","0.3742","0.3742","0.1","0.1","0.1","0.3141","0.3141","0.3141","0.4629","0.4629","0.4629","0.4432","0.4432","0.4432","0.4228","0.4228","0.4228","0.1789","0.1789","0.1789","0.3007","0.3007","0.3007","0.3797","0.3797","0.3797"
"33","0.2649","0.2649","0.2649","0.3583","0.3583","0.3583","0.4622","0.4622","0.4622","0.4663","0.4663","0.4663","0.4283","0.4283","0.4283","0.38","0.38","0.38","0.4116","0.4116","0.4116","0.4563","0.4563","0.4563","0.456","0.456","0.456","0.3738","0.3738","0.3738","0.1","0.1","0.1","0.3128","0.3128","0.3128","0.4679","0.4679","0.4679","0.4351","0.4351","0.4351","0.4268","0.4268","0.4268","0.1802","0.1802","0.1802","0.3075","0.3075","0.3075","0.3815","0.3815","0.3815"
"34","0.2623","0.2623","0.2623","0.3597","0.3597","0.3597","0.4631","0.4631","0.4631","0.4685","0.4685","0.4685","0.4269","0.4269","0.4269","0.3889","0.3889","0.3889","0.4098","0.4098","0.4098","0.4545","0.4545","0.4545","0.4593","0.4593","0.4593","0.3798","0.3798","0.3798","0.1","0.1","0.1","0.3221","0.3221","0.3221","0.4687","0.4687","0.4687","0.4245","0.4245","0.4245","0.4282","0.4282","0.4282","0.1803","0.1803","0.1803","0.3066","0.3066","0.3066","0.3815","0.3815","0.3815"
"35","0.2699","0.2699","0.2699","0.3634","0.3634","0.3634","0.4672","0.4672","0.4672","0.4724","0.4724","0.4724","0.4244","0.4244","0.4244","0.3871","0.3871","0.3871","0.4163","0.4163","0.4163","0.4504","0.4504","0.4504","0.4583","0.4583","0.4583","0.3745","0.3745","0.3745","0.0998","0.0998","0.0998","0.3172","0.3172","0.3172","0.4717","0.4717","0.4717","0.4334","0.4334","0.4334","0.4237","0.4237","0.4237","0.1811","0.1811","0.1811","0.3121","0.3121","0.3121","0.3886","0.3886","0.3886"
"36","0.2711","0.2711","0.2711","0.3663","0.3663","0.3663","0.4785","0.4785","0.4785","0.4721","0.4721","0.4721","0.4239","0.4239","0.4239","0.3915","0.3915","0.3915","0.4146","0.4146","0.4146","0.4571","0.4571","0.4571","0.4503","0.4503","0.4503","0.3778","0.3778","0.3778","0.1","0.1","0.1","0.3218","0.3218","0.3218","0.4638","0.4638","0.4638","0.4275","0.4275","0.4275","0.4259","0.4259","0.4259","0.1821","0.1821","0.1821","0.3195","0.3195","0.3195","0.3941","0.3941","0.3941"
"37","0.2666","0.2666","0.2666","0.3673","0.3673","0.3673","0.4692","0.4692","0.4692","0.4723","0.4723","0.4723","0.4387","0.4387","0.4387","0.3907","0.3907","0.3907","0.4139","0.4139","0.4139","0.4581","0.4581","0.4581","0.4547","0.4547","0.4547","0.3684","0.3684","0.3684","0.0998","0.0998","0.0998","0.3229","0.3229","0.3229","0.4634","0.4634","0.4634","0.4249","0.4249","0.4249","0.425","0.425","0.425","0.1818","0.1818","0.1818","0.3132","0.3132","0.3132","0.3905","0.3905","0.3905"
"38","0.2748","0.2748","0.2748","0.3713","0.3713","0.3713","0.472","0.472","0.472","0.4761","0.4761","0.4761","0.439","0.439","0.439","0.3926","0.3926","0.3926","0.4118","0.4118","0.4118","0.4593","0.4593","0.4593","0.4571","0.4571","0.4571","0.3777","0.3777","0.3777","0.1","0.1","0.1","0.3216","0.3216","0.3216","0.4692","0.4692","0.4692","0.4271","0.4271","0.4271","0.4245","0.4245","0.4245","0.1831","0.1831","0.1831","0.3235","0.3235","0.3235","0.3963","0.3963","0.3963"
"39","0.2759","0.2759","0.2759","0.3736","0.3736","0.3736","0.4704","0.4704","0.4704","0.4655","0.4655","0.4655","0.4368","0.4368","0.4368","0.3989","0.3989","0.3989","0.4158","0.4158","0.4158","0.4563","0.4563","0.4563","0.4574","0.4574","0.4574","0.3701","0.3701","0.3701","0.1","0.1","0.1","0.3201","0.3201","0.3201","0.4662","0.4662","0.4662","0.4263","0.4263","0.4263","0.4311","0.4311","0.4311","0.1824","0.1824","0.1824","0.3247","0.3247","0.3247","0.3886","0.3886","0.3886"
"40","0.2756","0.2756","0.2756","0.3791","0.3791","0.3791","0.4749","0.4749","0.4749","0.4777","0.4777","0.4777","0.4383","0.4383","0.4383","0.3939","0.3939","0.3939","0.4178","0.4178","0.4178","0.459","0.459","0.459","0.4507","0.4507","0.4507","0.3723","0.3723","0.3723","0.1","0.1","0.1","0.2988","0.2988","0.2988","0.4742","0.4742","0.4742","0.4264","0.4264","0.4264","0.4211","0.4211","0.4211","0.1835","0.1835","0.1835","0.329","0.329","0.329","0.3995","0.3995","0.3995"
"41","0.2759","0.2759","0.2759","0.3819","0.3819","0.3819","0.4726","0.4726","0.4726","0.4764","0.4764","0.4764","0.4408","0.4408","0.4408","0.3989","0.3989","0.3989","0.4164","0.4164","0.4164","0.4636","0.4636","0.4636","0.46","0.46","0.46","0.3752","0.3752","0.3752","0.0998","0.0998","0.0998","0.3274","0.3274","0.3274","0.4783","0.4783","0.4783","0.4271","0.4271","0.4271","0.4208","0.4208","0.4208","0.1847","0.1847","0.1847","0.3315","0.3315","0.3315","0.3985","0.3985","0.3985"
"42","0.2824","0.2824","0.2824","0.3835","0.3835","0.3835","0.4841","0.4841","0.4841","0.4786","0.4786","0.4786","0.4401","0.4401","0.4401","0.4014","0.4014","0.4014","0.4191","0.4191","0.4191","0.4532","0.4532","0.4532","0.46","0.46","0.46","0.3785","0.3785","0.3785","0.1","0.1","0.1","0.3256","0.3256","0.3256","0.4756","0.4756","0.4756","0.415","0.415","0.415","0.4191","0.4191","0.4191","0.1852","0.1852","0.1852","0.3336","0.3336","0.3336","0.4044","0.4044","0.4044"
"43","0.2832","0.2832","0.2832","0.3839","0.3839","0.3839","0.48","0.48","0.48","0.4785","0.4785","0.4785","0.4488","0.4488","0.4488","0.3985","0.3985","0.3985","0.4202","0.4202","0.4202","0.459","0.459","0.459","0.4573","0.4573","0.4573","0.3673","0.3673","0.3673","0.0998","0.0998","0.0998","0.3302","0.3302","0.3302","0.4714","0.4714","0.4714","0.4269","0.4269","0.4269","0.4235","0.4235","0.4235","0.1858","0.1858","0.1858","0.3369","0.3369","0.3369","0.4037","0.4037","0.4037"
"44","0.2886","0.2886","0.2886","0.384","0.384","0.384","0.488","0.488","0.488","0.4808","0.4808","0.4808","0.4456","0.4456","0.4456","0.4049","0.4049","0.4049","0.4176","0.4176","0.4176","0.4594","0.4594","0.4594","0.4597","0.4597","0.4597","0.3749","0.3749","0.3749","0.1","0.1","0.1","0.3274","0.3274","0.3274","0.4732","0.4732","0.4732","0.4205","0.4205","0.4205","0.4234","0.4234","0.4234","0.1861","0.1861","0.1861","0.335","0.335","0.335","0.4039","0.4039","0.4039"
"45","0.2902","0.2902","0.2902","0.3872","0.3872","0.3872","0.4878","0.4878","0.4878","0.4881","0.4881","0.4881","0.4436","0.4436","0.4436","0.4083","0.4083","0.4083","0.418","0.418","0.418","0.4607","0.4607","0.4607","0.4649","0.4649","0.4649","0.3638","0.3638","0.3638","0.1","0.1","0.1","0.3319","0.3319","0.3319","0.4729","0.4729","0.4729","0.4201","0.4201","0.4201","0.4184","0.4184","0.4184","0.1862","0.1862","0.1862","0.3396","0.3396","0.3396","0.412","0.412","0.412"
"46","0.2916","0.2916","0.2916","0.3924","0.3924","0.3924","0.4915","0.4915","0.4915","0.4813","0.4813","0.4813","0.4484","0.4484","0.4484","0.4074","0.4074","0.4074","0.4205","0.4205","0.4205","0.4617","0.4617","0.4617","0.4601","0.4601","0.4601","0.3735","0.3735","0.3735","0.1","0.1","0.1","0.3325","0.3325","0.3325","0.4743","0.4743","0.4743","0.419","0.419","0.419","0.4194","0.4194","0.4194","0.1866","0.1866","0.1866","0.3408","0.3408","0.3408","0.3916","0.3916","0.3916"
"47","0.2912","0.2912","0.2912","0.3946","0.3946","0.3946","0.4836","0.4836","0.4836","0.486","0.486","0.486","0.4455","0.4455","0.4455","0.4065","0.4065","0.4065","0.423","0.423","0.423","0.4641","0.4641","0.4641","0.4594","0.4594","0.4594","0.3803","0.3803","0.3803","0.0998","0.0998","0.0998","0.3285","0.3285","0.3285","0.4707","0.4707","0.4707","0.4254","0.4254","0.4254","0.4217","0.4217","0.4217","0.1864","0.1864","0.1864","0.3426","0.3426","0.3426","0.4108","0.4108","0.4108"
"48","0.2982","0.2982","0.2982","0.392","0.392","0.392","0.4944","0.4944","0.4944","0.4894","0.4894","0.4894","0.4485","0.4485","0.4485","0.414","0.414","0.414","0.4223","0.4223","0.4223","0.4619","0.4619","0.4619","0.4642","0.4642","0.4642","0.3697","0.3697","0.3697","0.1","0.1","0.1","0.302","0.302","0.302","0.4684","0.4684","0.4684","0.4239","0.4239","0.4239","0.4157","0.4157","0.4157","0.1868","0.1868","0.1868","0.347","0.347","0.347","0.4105","0.4105","0.4105"
"49","0.2963","0.2963","0.2963","0.3955","0.3955","0.3955","0.4976","0.4976","0.4976","0.4911","0.4911","0.4911","0.4552","0.4552","0.4552","0.4113","0.4113","0.4113","0.4221","0.4221","0.4221","0.4655","0.4655","0.4655","0.4581","0.4581","0.4581","0.3712","0.3712","0.3712","0.0998","0.0998","0.0998","0.3345","0.3345","0.3345","0.4812","0.4812","0.4812","0.4249","0.4249","0.4249","0.4159","0.4159","0.4159","0.1864","0.1864","0.1864","0.351","0.351","0.351","0.4126","0.4126","0.4126"
"50","0.301","0.301","0.301","0.3966","0.3966","0.3966","0.4922","0.4922","0.4922","0.4896","0.4896","0.4896","0.4566","0.4566","0.4566","0.4158","0.4158","0.4158","0.4208","0.4208","0.4208","0.4581","0.4581","0.4581","0.4585","0.4585","0.4585","0.3782","0.3782","0.3782","0.1","0.1","0.1","0.3226","0.3226","0.3226","0.4683","0.4683","0.4683","0.4218","0.4218","0.4218","0.4124","0.4124","0.4124","0.187","0.187","0.187","0.3471","0.3471","0.3471","0.4082","0.4082","0.4082"
"51","0.3044","0.3044","0.3044","0.3964","0.3964","0.3964","0.4836","0.4836","0.4836","0.4744","0.4744","0.4744","0.4523","0.4523","0.4523","0.4153","0.4153","0.4153","0.4242","0.4242","0.4242","0.4655","0.4655","0.4655","0.466","0.466","0.466","0.3721","0.3721","0.3721","","","","0.3307","0.3307","0.3307","0.4633","0.4633","0.4633","0.4171","0.4171","0.4171","0.417","0.417","0.417","0.1873","0.1873","0.1873","0.35","0.35","0.35","0.4258","0.4258","0.4258"
"52","0.3052","0.3052","0.3052","0.3998","0.3998","0.3998","0.4903","0.4903","0.4903","0.4867","0.4867","0.4867","0.4543","0.4543","0.4543","0.4138","0.4138","0.4138","0.4271","0.4271","0.4271","0.462","0.462","0.462","0.4606","0.4606","0.4606","0.3795","0.3795","0.3795","","","","0.2956","0.2956","0.2956","0.4782","0.4782","0.4782","0.4137","0.4137","0.4137","0.4124","0.4124","0.4124","0.1873","0.1873","0.1873","0.3566","0.3566","0.3566","0.4234","0.4234","0.4234"
"53","0.3073","0.3073","0.3073","0.4007","0.4007","0.4007","0.4994","0.4994","0.4994","0.4834","0.4834","0.4834","0.4549","0.4549","0.4549","0.4185","0.4185","0.4185","0.4249","0.4249","0.4249","0.4709","0.4709","0.4709","0.4614","0.4614","0.4614","0.3796","0.3796","0.3796","","","","0.3192","0.3192","0.3192","0.4696","0.4696","0.4696","0.4182","0.4182","0.4182","0.405","0.405","0.405","0.1873","0.1873","0.1873","0.3613","0.3613","0.3613","0.42","0.42","0.42"
"54","0.3083","0.3083","0.3083","0.4054","0.4054","0.4054","0.4956","0.4956","0.4956","0.4858","0.4858","0.4858","0.461","0.461","0.461","0.4199","0.4199","0.4199","0.4272","0.4272","0.4272","0.4637","0.4637","0.4637","0.4642","0.4642","0.4642","0.3712","0.3712","0.3712","","","","0.3273","0.3273","0.3273","0.4602","0.4602","0.4602","0.4165","0.4165","0.4165","0.4148","0.4148","0.4148","0.1883","0.1883","0.1883","0.3614","0.3614","0.3614","0.4267","0.4267","0.4267"
"55","0.307","0.307","0.307","0.4039","0.4039","0.4039","0.5011","0.5011","0.5011","0.491","0.491","0.491","0.4656","0.4656","0.4656","0.4205","0.4205","0.4205","0.4254","0.4254","0.4254","0.4646","0.4646","0.4646","0.4647","0.4647","0.4647","0.3819","0.3819","0.3819","","","","0.3268","0.3268","0.3268","0.4618","0.4618","0.4618","0.4194","0.4194","0.4194","0.4148","0.4148","0.4148","0.1885","0.1885","0.1885","0.3635","0.3635","0.3635","0.4245","0.4245","0.4245"
"56","0.3077","0.3077","0.3077","0.4049","0.4049","0.4049","0.4987","0.4987","0.4987","0.4866","0.4866","0.4866","0.4641","0.4641","0.4641","0.4205","0.4205","0.4205","0.4278","0.4278","0.4278","0.4591","0.4591","0.4591","0.4692","0.4692","0.4692","0.3833","0.3833","0.3833","","","","0.3164","0.3164","0.3164","0.4681","0.4681","0.4681","0.4079","0.4079","0.4079","0.4122","0.4122","0.4122","0.1875","0.1875","0.1875","0.3667","0.3667","0.3667","0.3933","0.3933","0.3933"
"57","0.3088","0.3088","0.3088","0.4067","0.4067","0.4067","0.4991","0.4991","0.4991","0.4819","0.4819","0.4819","0.4636","0.4636","0.4636","0.4187","0.4187","0.4187","0.4284","0.4284","0.4284","0.4649","0.4649","0.4649","0.4629","0.4629","0.4629","0.3666","0.3666","0.3666","","","","0.333","0.333","0.333","0.4733","0.4733","0.4733","0.4117","0.4117","0.4117","0.4025","0.4025","0.4025","0.1875","0.1875","0.1875","0.3655","0.3655","0.3655","0.4288","0.4288","0.4288"
"58","0.3118","0.3118","0.3118","0.4109","0.4109","0.4109","0.4994","0.4994","0.4994","0.4865","0.4865","0.4865","0.4617","0.4617","0.4617","0.4228","0.4228","0.4228","0.4305","0.4305","0.4305","0.4646","0.4646","0.4646","0.4609","0.4609","0.4609","0.3745","0.3745","0.3745","","","","0.331","0.331","0.331","0.462","0.462","0.462","0.4126","0.4126","0.4126","0.4119","0.4119","0.4119","0.1879","0.1879","0.1879","0.3685","0.3685","0.3685","0.4251","0.4251","0.4251"
"59","0.3168","0.3168","0.3168","0.4063","0.4063","0.4063","0.4978","0.4978","0.4978","0.4961","0.4961","0.4961","0.4647","0.4647","0.4647","0.422","0.422","0.422","0.4274","0.4274","0.4274","0.4626","0.4626","0.4626","0.4597","0.4597","0.4597","0.3768","0.3768","0.3768","","","","0.3389","0.3389","0.3389","0.4733","0.4733","0.4733","0.4166","0.4166","0.4166","0.4038","0.4038","0.4038","0.1875","0.1875","0.1875","0.3704","0.3704","0.3704","0.4246","0.4246","0.4246"
"60","0.3131","0.3131","0.3131","0.4166","0.4166","0.4166","0.4977","0.4977","0.4977","0.4846","0.4846","0.4846","0.4677","0.4677","0.4677","0.4226","0.4226","0.4226","0.4298","0.4298","0.4298","0.4671","0.4671","0.4671","0.4622","0.4622","0.4622","0.362","0.362","0.362","","","","0.3226","0.3226","0.3226","0.4676","0.4676","0.4676","0.4079","0.4079","0.4079","0.4075","0.4075","0.4075","0.1876","0.1876","0.1876","0.3725","0.3725","0.3725","0.4407","0.4407","0.4407"
"61","0.3176","0.3176","0.3176","0.4147","0.4147","0.4147","0.5004","0.5004","0.5004","0.4844","0.4844","0.4844","0.4644","0.4644","0.4644","0.426","0.426","0.426","0.4303","0.4303","0.4303","0.4634","0.4634","0.4634","0.4619","0.4619","0.4619","0.3808","0.3808","0.3808","","","","0.33","0.33","0.33","0.4802","0.4802","0.4802","0.4152","0.4152","0.4152","0.4103","0.4103","0.4103","0.1879","0.1879","0.1879","0.3706","0.3706","0.3706","0.4371","0.4371","0.4371"
"62","0.3192","0.3192","0.3192","0.4148","0.4148","0.4148","0.4979","0.4979","0.4979","0.4838","0.4838","0.4838","0.4753","0.4753","0.4753","0.425","0.425","0.425","0.4319","0.4319","0.4319","0.4624","0.4624","0.4624","0.4538","0.4538","0.4538","0.3803","0.3803","0.3803","","","","0.3248","0.3248","0.3248","0.4753","0.4753","0.4753","0.4096","0.4096","0.4096","0.4069","0.4069","0.4069","0.1877","0.1877","0.1877","0.3722","0.3722","0.3722","0.4153","0.4153","0.4153"
"63","0.3186","0.3186","0.3186","0.4159","0.4159","0.4159","0.5009","0.5009","0.5009","0.4849","0.4849","0.4849","0.471","0.471","0.471","0.431","0.431","0.431","0.43","0.43","0.43","0.461","0.461","0.461","0.4575","0.4575","0.4575","0.3662","0.3662","0.3662","","","","0.3186","0.3186","0.3186","0.4684","0.4684","0.4684","0.415","0.415","0.415","0.4033","0.4033","0.4033","0.1881","0.1881","0.1881","0.3737","0.3737","0.3737","0.4257","0.4257","0.4257"
"64","0.3227","0.3227","0.3227","0.4171","0.4171","0.4171","0.4961","0.4961","0.4961","0.4784","0.4784","0.4784","0.4725","0.4725","0.4725","0.4283","0.4283","0.4283","0.4289","0.4289","0.4289","0.4611","0.4611","0.4611","0.4518","0.4518","0.4518","0.3789","0.3789","0.3789","","","","0.3387","0.3387","0.3387","0.4721","0.4721","0.4721","0.413","0.413","0.413","0.402","0.402","0.402","0.1888","0.1888","0.1888","0.3805","0.3805","0.3805","0.4207","0.4207","0.4207"
"65","0.3246","0.3246","0.3246","0.4189","0.4189","0.4189","0.5005","0.5005","0.5005","0.4866","0.4866","0.4866","0.4761","0.4761","0.4761","0.4326","0.4326","0.4326","0.4308","0.4308","0.4308","0.4613","0.4613","0.4613","0.4602","0.4602","0.4602","0.3497","0.3497","0.3497","","","","0.3277","0.3277","0.3277","0.4701","0.4701","0.4701","0.4128","0.4128","0.4128","0.3998","0.3998","0.3998","0.1895","0.1895","0.1895","0.3823","0.3823","0.3823","0.4404","0.4404","0.4404"
"66","0.324","0.324","0.324","0.4193","0.4193","0.4193","0.4985","0.4985","0.4985","0.4786","0.4786","0.4786","0.4806","0.4806","0.4806","0.436","0.436","0.436","0.4328","0.4328","0.4328","0.4623","0.4623","0.4623","0.4614","0.4614","0.4614","0.3716","0.3716","0.3716","","","","0.3226","0.3226","0.3226","0.4772","0.4772","0.4772","0.4071","0.4071","0.4071","0.4054","0.4054","0.4054","0.1908","0.1908","0.1908","0.3744","0.3744","0.3744","0.443","0.443","0.443"
"67","0.3256","0.3256","0.3256","0.4228","0.4228","0.4228","0.4954","0.4954","0.4954","0.4865","0.4865","0.4865","0.4756","0.4756","0.4756","0.43","0.43","0.43","0.4312","0.4312","0.4312","0.4626","0.4626","0.4626","0.4618","0.4618","0.4618","0.3689","0.3689","0.3689","","","","0.3286","0.3286","0.3286","0.4708","0.4708","0.4708","0.4096","0.4096","0.4096","0.4024","0.4024","0.4024","0.19","0.19","0.19","0.3832","0.3832","0.3832","0.4212","0.4212","0.4212"
"68","0.3259","0.3259","0.3259","0.4224","0.4224","0.4224","0.4998","0.4998","0.4998","0.4886","0.4886","0.4886","0.4756","0.4756","0.4756","0.4354","0.4354","0.4354","0.4372","0.4372","0.4372","0.4646","0.4646","0.4646","0.4607","0.4607","0.4607","0.3694","0.3694","0.3694","","","","0.3383","0.3383","0.3383","0.4798","0.4798","0.4798","0.41","0.41","0.41","0.4035","0.4035","0.4035","0.1913","0.1913","0.1913","0.383","0.383","0.383","0.4403","0.4403","0.4403"
"69","0.3274","0.3274","0.3274","0.4262","0.4262","0.4262","0.501","0.501","0.501","0.4899","0.4899","0.4899","0.477","0.477","0.477","0.4346","0.4346","0.4346","0.4353","0.4353","0.4353","0.4643","0.4643","0.4643","0.4605","0.4605","0.4605","0.3643","0.3643","0.3643","","","","0.3438","0.3438","0.3438","0.4751","0.4751","0.4751","","","","0.4001","0.4001","0.4001","0.1919","0.1919","0.1919","0.3756","0.3756","0.3756","0.4387","0.4387","0.4387"
"70","0.3309","0.3309","0.3309","0.4237","0.4237","0.4237","0.4978","0.4978","0.4978","0.4778","0.4778","0.4778","0.4802","0.4802","0.4802","0.4413","0.4413","0.4413","0.4334","0.4334","0.4334","0.4645","0.4645","0.4645","0.4569","0.4569","0.4569","0.3688","0.3688","0.3688","","","","0.3306","0.3306","0.3306","0.469","0.469","0.469","","","","0.3985","0.3985","0.3985","0.1923","0.1923","0.1923","0.3866","0.3866","0.3866","0.4462","0.4462","0.4462"
"71","0.3343","0.3343","0.3343","0.4279","0.4279","0.4279","0.494","0.494","0.494","0.4783","0.4783","0.4783","0.482","0.482","0.482","0.4399","0.4399","0.4399","0.4384","0.4384","0.4384","0.465","0.465","0.465","0.4622","0.4622","0.4622","0.3724","0.3724","0.3724","","","","0.3289","0.3289","0.3289","0.4701","0.4701","0.4701","","","","0.3994","0.3994","0.3994","0.1922","0.1922","0.1922","0.3847","0.3847","0.3847","0.4475","0.4475","0.4475"
"72","0.337","0.337","0.337","0.4286","0.4286","0.4286","0.4957","0.4957","0.4957","0.4796","0.4796","0.4796","0.4806","0.4806","0.4806","0.436","0.436","0.436","0.4332","0.4332","0.4332","0.4636","0.4636","0.4636","0.4581","0.4581","0.4581","0.3723","0.3723","0.3723","","","","0.3306","0.3306","0.3306","0.4689","0.4689","0.4689","","","","0.3961","0.3961","0.3961","0.1935","0.1935","0.1935","0.3907","0.3907","0.3907","0.4544","0.4544","0.4544"
"73","0.337","0.337","0.337","0.4274","0.4274","0.4274","0.4948","0.4948","0.4948","0.4821","0.4821","0.4821","0.4849","0.4849","0.4849","0.4389","0.4389","0.4389","0.4355","0.4355","0.4355","0.4622","0.4622","0.4622","0.4499","0.4499","0.4499","0.3616","0.3616","0.3616","","","","0.329","0.329","0.329","0.4626","0.4626","0.4626","","","","0.3995","0.3995","0.3995","0.1946","0.1946","0.1946","0.3909","0.3909","0.3909","0.4386","0.4386","0.4386"
"74","0.3397","0.3397","0.3397","0.4294","0.4294","0.4294","0.4949","0.4949","0.4949","0.4805","0.4805","0.4805","0.4887","0.4887","0.4887","0.4438","0.4438","0.4438","0.4355","0.4355","0.4355","0.4616","0.4616","0.4616","0.4565","0.4565","0.4565","0.3665","0.3665","0.3665","","","","0.3308","0.3308","0.3308","0.4726","0.4726","0.4726","","","","0.4016","0.4016","0.4016","0.1929","0.1929","0.1929","0.393","0.393","0.393","0.4466","0.4466","0.4466"
"75","0.3371","0.3371","0.3371","0.4303","0.4303","0.4303","0.4896","0.4896","0.4896","0.4843","0.4843","0.4843","0.4792","0.4792","0.4792","0.4425","0.4425","0.4425","0.4378","0.4378","0.4378","0.4602","0.4602","0.4602","0.4576","0.4576","0.4576","0.3741","0.3741","0.3741","","","","0.3201","0.3201","0.3201","0.4758","0.4758","0.4758","","","","0.4015","0.4015","0.4015","0.1946","0.1946","0.1946","0.3938","0.3938","0.3938","0.4508","0.4508","0.4508"
"76","0.342","0.342","0.342","0.4335","0.4335","0.4335","0.4923","0.4923","0.4923","0.4887","0.4887","0.4887","0.4853","0.4853","0.4853","0.4453","0.4453","0.4453","0.4365","0.4365","0.4365","0.463","0.463","0.463","0.457","0.457","0.457","0.3757","0.3757","0.3757","","","","0.3381","0.3381","0.3381","0.4663","0.4663","0.4663","","","","0.3956","0.3956","0.3956","0.1958","0.1958","0.1958","0.3971","0.3971","0.3971","0.4438","0.4438","0.4438"
"77","0.3445","0.3445","0.3445","0.4299","0.4299","0.4299","0.499","0.499","0.499","0.4802","0.4802","0.4802","0.4825","0.4825","0.4825","0.4459","0.4459","0.4459","0.4387","0.4387","0.4387","0.4646","0.4646","0.4646","0.4538","0.4538","0.4538","0.3716","0.3716","0.3716","","","","0.3169","0.3169","0.3169","0.4762","0.4762","0.4762","","","","0.4019","0.4019","0.4019","0.1961","0.1961","0.1961","0.399","0.399","0.399","0.456","0.456","0.456"
"78","0.3451","0.3451","0.3451","0.4386","0.4386","0.4386","0.4986","0.4986","0.4986","0.4864","0.4864","0.4864","0.488","0.488","0.488","0.4506","0.4506","0.4506","0.439","0.439","0.439","0.4607","0.4607","0.4607","0.4568","0.4568","0.4568","0.3661","0.3661","0.3661","","","","0.3277","0.3277","0.3277","0.4657","0.4657","0.4657","","","","0.3942","0.3942","0.3942","0.1984","0.1984","0.1984","0.4019","0.4019","0.4019","0.4616","0.4616","0.4616"
