"Step","lemon-valley-41 - accuracy","lemon-valley-41 - accuracy__MIN","lemon-valley-41 - accuracy__MAX","Best result sgd with sam - accuracy","Best result sgd with sam - accuracy__MIN","Best result sgd with sam - accuracy__MAX","polished-microwave-39 - accuracy","polished-microwave-39 - accuracy__MIN","polished-microwave-39 - accuracy__MAX","SGD with SAM lr-0.1 - accuracy","SGD with SAM lr-0.1 - accuracy__MIN","SGD with SAM lr-0.1 - accuracy__MAX","SGD with sam lr-0.05 - accuracy","SGD with sam lr-0.05 - accuracy__MIN","SGD with sam lr-0.05 - accuracy__MAX","SGD with SAM lr-0.01 - accuracy","SGD with SAM lr-0.01 - accuracy__MIN","SGD with SAM lr-0.01 - accuracy__MAX","Adagrad lr-0.001 - accuracy","Adagrad lr-0.001 - accuracy__MIN","Adagrad lr-0.001 - accuracy__MAX","Adagrad lr-0.005 - accuracy","Adagrad lr-0.005 - accuracy__MIN","Adagrad lr-0.005 - accuracy__MAX","Adagrad lr -0.01 - accuracy","Adagrad lr -0.01 - accuracy__MIN","Adagrad lr -0.01 - accuracy__MAX","RMSprop lr-0.005 - accuracy","RMSprop lr-0.005 - accuracy__MIN","RMSprop lr-0.005 - accuracy__MAX","RMSprop lr-0.05 - accuracy","RMSprop lr-0.05 - accuracy__MIN","RMSprop lr-0.05 - accuracy__MAX","RMSprop lr-0.01 - accuracy","RMSprop lr-0.01 - accuracy__MIN","RMSprop lr-0.01 - accuracy__MAX","Adam lr-0.0001 - accuracy","Adam lr-0.0001 - accuracy__MIN","Adam lr-0.0001 - accuracy__MAX","Adam lr-0.0005 overflow - accuracy","Adam lr-0.0005 overflow - accuracy__MIN","Adam lr-0.0005 overflow - accuracy__MAX","Adam lr-0.001 batch_size 64 - accuracy","Adam lr-0.001 batch_size 64 - accuracy__MIN","Adam lr-0.001 batch_size 64 - accuracy__MAX","SGD lr-0.001 batch_size 256 - accuracy","SGD lr-0.001 batch_size 256 - accuracy__MIN","SGD lr-0.001 batch_size 256 - accuracy__MAX","SGD-lr-0.05-batch_size 128 - accuracy","SGD-lr-0.05-batch_size 128 - accuracy__MIN","SGD-lr-0.05-batch_size 128 - accuracy__MAX","SGD-lr-0.01-batch_size-128 - accuracy","SGD-lr-0.01-batch_size-128 - accuracy__MIN","SGD-lr-0.01-batch_size-128 - accuracy__MAX"
"10","0.1887","0.1887","0.1887","0.2496","0.2496","0.2496","0.3715","0.3715","0.3715","0.3763","0.3763","0.3763","0.3449","0.3449","0.3449","0.293","0.293","0.293","0.3656","0.3656","0.3656","0.4063","0.4063","0.4063","0.4206","0.4206","0.4206","0.3581","0.3581","0.3581","0.1","0.1","0.1","0.2847","0.2847","0.2847","0.417","0.417","0.417","0.427","0.427","0.427","0.4044","0.4044","0.4044","0.1886","0.1886","0.1886","0.2165","0.2165","0.2165","0.2684","0.2684","0.2684"
"11","0.1892","0.1892","0.1892","0.2624","0.2624","0.2624","0.3839","0.3839","0.3839","0.3756","0.3756","0.3756","0.3498","0.3498","0.3498","0.2982","0.2982","0.2982","0.3757","0.3757","0.3757","0.4164","0.4164","0.4164","0.4209","0.4209","0.4209","0.3546","0.3546","0.3546","0.1","0.1","0.1","0.2888","0.2888","0.2888","0.4248","0.4248","0.4248","0.438","0.438","0.438","0.4117","0.4117","0.4117","0.1917","0.1917","0.1917","0.2242","0.2242","0.2242","0.2833","0.2833","0.2833"
"12","0.1833","0.1833","0.1833","0.2662","0.2662","0.2662","0.3763","0.3763","0.3763","0.3932","0.3932","0.3932","0.3553","0.3553","0.3553","0.3077","0.3077","0.3077","0.3706","0.3706","0.3706","0.4239","0.4239","0.4239","0.4244","0.4244","0.4244","0.3586","0.3586","0.3586","0.1","0.1","0.1","0.2958","0.2958","0.2958","0.4198","0.4198","0.4198","0.4412","0.4412","0.4412","0.4206","0.4206","0.4206","0.1907","0.1907","0.1907","0.2353","0.2353","0.2353","0.285","0.285","0.285"
"13","0.1798","0.1798","0.1798","0.2707","0.2707","0.2707","0.3948","0.3948","0.3948","0.3964","0.3964","0.3964","0.3643","0.3643","0.3643","0.3144","0.3144","0.3144","0.3784","0.3784","0.3784","0.4241","0.4241","0.4241","0.429","0.429","0.429","0.3641","0.3641","0.3641","0.1","0.1","0.1","0.2998","0.2998","0.2998","0.4242","0.4242","0.4242","0.4322","0.4322","0.4322","0.4306","0.4306","0.4306","0.1891","0.1891","0.1891","0.2392","0.2392","0.2392","0.2913","0.2913","0.2913"
"14","0.1727","0.1727","0.1727","0.2839","0.2839","0.2839","0.3894","0.3894","0.3894","0.3896","0.3896","0.3896","0.3681","0.3681","0.3681","0.3159","0.3159","0.3159","0.3849","0.3849","0.3849","0.4308","0.4308","0.4308","0.4271","0.4271","0.4271","0.3639","0.3639","0.3639","0.1","0.1","0.1","0.2856","0.2856","0.2856","0.4249","0.4249","0.4249","0.4404","0.4404","0.4404","0.4253","0.4253","0.4253","0.1862","0.1862","0.1862","0.245","0.245","0.245","0.2931","0.2931","0.2931"
"15","0.1701","0.1701","0.1701","0.2872","0.2872","0.2872","0.3992","0.3992","0.3992","0.402","0.402","0.402","0.3685","0.3685","0.3685","0.3223","0.3223","0.3223","0.3873","0.3873","0.3873","0.4284","0.4284","0.4284","0.4307","0.4307","0.4307","0.3769","0.3769","0.3769","0.1","0.1","0.1","0.2249","0.2249","0.2249","0.422","0.422","0.422","0.4368","0.4368","0.4368","0.4341","0.4341","0.4341","0.1834","0.1834","0.1834","0.2509","0.2509","0.2509","0.3024","0.3024","0.3024"
"16","0.1709","0.1709","0.1709","0.2924","0.2924","0.2924","0.3974","0.3974","0.3974","0.39","0.39","0.39","0.3764","0.3764","0.3764","0.3229","0.3229","0.3229","0.3879","0.3879","0.3879","0.4389","0.4389","0.4389","0.4317","0.4317","0.4317","0.3761","0.3761","0.3761","0.1","0.1","0.1","0.2964","0.2964","0.2964","0.4337","0.4337","0.4337","0.4434","0.4434","0.4434","0.4284","0.4284","0.4284","0.1799","0.1799","0.1799","0.257","0.257","0.257","0.3046","0.3046","0.3046"
"17","0.1761","0.1761","0.1761","0.2983","0.2983","0.2983","0.4118","0.4118","0.4118","0.407","0.407","0.407","0.3784","0.3784","0.3784","0.3271","0.3271","0.3271","0.3911","0.3911","0.3911","0.4327","0.4327","0.4327","0.4386","0.4386","0.4386","0.3566","0.3566","0.3566","0.1","0.1","0.1","0.3019","0.3019","0.3019","0.434","0.434","0.434","0.4453","0.4453","0.4453","0.4205","0.4205","0.4205","0.1786","0.1786","0.1786","0.2603","0.2603","0.2603","0.315","0.315","0.315"
"18","0.1784","0.1784","0.1784","0.3019","0.3019","0.3019","0.4198","0.4198","0.4198","0.417","0.417","0.417","0.3811","0.3811","0.3811","0.3317","0.3317","0.3317","0.3925","0.3925","0.3925","0.4417","0.4417","0.4417","0.4417","0.4417","0.4417","0.3668","0.3668","0.3668","0.1","0.1","0.1","0.3137","0.3137","0.3137","0.4406","0.4406","0.4406","0.4407","0.4407","0.4407","0.4166","0.4166","0.4166","0.1785","0.1785","0.1785","0.2648","0.2648","0.2648","0.3154","0.3154","0.3154"
"19","0.185","0.185","0.185","0.3099","0.3099","0.3099","0.412","0.412","0.412","0.4195","0.4195","0.4195","0.3849","0.3849","0.3849","0.3396","0.3396","0.3396","0.3908","0.3908","0.3908","0.4383","0.4383","0.4383","0.4486","0.4486","0.4486","0.3652","0.3652","0.3652","0.1","0.1","0.1","0.317","0.317","0.317","0.4519","0.4519","0.4519","0.4461","0.4461","0.4461","0.424","0.424","0.424","0.177","0.177","0.177","0.2653","0.2653","0.2653","0.3215","0.3215","0.3215"
