Wall time,Step,Value
1700855887.5920806,1,0.36640626192092896
1700855902.3817735,2,0.4630008041858673
1700855915.315406,3,0.5015424489974976
1700855928.090861,4,0.527924656867981
1700855940.6601686,5,0.5410256385803223
1700855953.210252,6,0.5518028736114502
1700855965.9192398,7,0.563361406326294
1700855979.0527983,8,0.5706931352615356
1700855992.9824307,9,0.5792067050933838
1700856005.8560107,10,0.5878405570983887
1700856018.626058,11,0.586798906326294
1700856031.6674268,12,0.5950120091438293
1700856044.3014138,13,0.6011418104171753
1700856057.0616722,14,0.6037259697914124
1700856069.7321093,15,0.6072515845298767
1700856082.943262,16,0.6120392680168152
1700856096.9527922,17,0.6158252954483032
1700856110.0041878,18,0.6176081895828247
1700856122.24243,19,0.6238581538200378
1700856134.4388134,20,0.6207532286643982
1700856148.7395136,21,0.6228365302085876
1700856162.8563626,22,0.6265624761581421
1700856175.728558,23,0.6283854246139526
1700856188.587606,24,0.6320512890815735
1700856201.3249624,25,0.6336939334869385
1700856214.2303362,26,0.6350961327552795
1700856227.157639,27,0.6356770992279053
1700856240.9975107,28,0.6360977292060852
1700856256.2779622,29,0.6384214758872986
1700856271.4636712,30,0.6400841474533081
1700856285.8570926,31,0.6438902020454407
1700856299.962079,32,0.646173894405365
1700856314.1348977,33,0.6447516083717346
1700856328.7301269,34,0.6488581895828247
1700856341.7605069,35,0.6479367017745972
1700856354.7089393,36,0.6518229246139526
1700856367.6471474,37,0.65234375
1700856380.5945904,38,0.6510216593742371
1700856393.4664197,39,0.6568509340286255
1700856406.4423988,40,0.6527042984962463
1700856420.3323517,41,0.6574118733406067
1700856433.4139233,42,0.658513605594635
1700856446.2458317,43,0.658473551273346
1700856459.6771493,44,0.6620993614196777
1700856472.4546485,45,0.6602764129638672
1700856485.0893645,46,0.6646835207939148
1700856497.630929,47,0.663481593132019
1700856510.4452531,48,0.6655248403549194
1700856524.751021,49,0.6650841236114502
1700856538.5071,50,0.6673277020454407
1700856551.3218498,51,0.6672876477241516
1700856565.0749028,52,0.665584921836853
1700856578.4602907,53,0.666326105594635
1700856592.0165737,54,0.6689102649688721
1700856605.7505405,55,0.6703125238418579
1700856618.8851776,56,0.6733373403549194
1700856631.8579667,57,0.6708533763885498
1700856645.3154428,58,0.6713341474533081
1700856658.805958,59,0.6740584969520569
1700856671.9656582,60,0.6713341474533081
1700856685.3872368,61,0.6752604246139526
1700856699.1006045,62,0.6751001477241516
1700856711.79019,63,0.674258828163147
1700856724.9875064,64,0.6773236989974976
1700856738.163693,65,0.6738181114196777
1700856751.2619228,66,0.6764623522758484
1700856764.194805,67,0.6800681352615356
1700856777.1035016,68,0.678004801273346
1700856789.994619,69,0.6807892918586731
1700856802.8925698,70,0.6769831776618958
1700856815.5916195,71,0.6811498403549194
1700856828.4601989,72,0.6819711327552795
1700856841.4394908,73,0.6792467832565308
1700856854.2911224,74,0.6810497045516968
1700856867.287853,75,0.6789663434028625
1700856880.0706892,76,0.6824719309806824
1700856892.8205764,77,0.6816706657409668
1700856905.5714772,78,0.6829527020454407
1700856918.673441,79,0.685076117515564
1700856931.3655188,80,0.6858373284339905
1700856944.4802876,81,0.6854166388511658
1700856957.480527,82,0.6842748522758484
1700856970.8388004,83,0.6873998641967773
1700856983.8180923,84,0.6878806352615356
1700856996.614872,85,0.6844751834869385
1700857009.746757,86,0.6891626715660095
1700857022.4956632,87,0.6887419819831848
1700857035.2744906,88,0.6885817050933838
1700857048.2717347,89,0.6883012652397156
1700857061.2779543,90,0.6889222860336304
1700857074.7782822,91,0.6898237466812134
1700857087.2936685,92,0.6874599456787109
1700857099.351426,93,0.689723551273346
1700857111.7273297,94,0.6893830299377441
1700857124.0812936,95,0.6911458373069763
1700857136.8002818,96,0.6888020634651184
1700857149.3756528,97,0.692147433757782
1700857162.7238274,98,0.6890023946762085
1700857175.976734,99,0.6894831657409668
1700857188.7662241,100,0.692267656326294
